H_TEAM,A_TEAM,GENDER,NUM_F,NUM_M,HALF,SET_NUM,SET_TIME,HOME_RESULT,FINISH,H_HITS,A_HITS,H_THROW,A_THROW,H_CATCH,A_CATCH,H_OUTS,A_OUTS,H_BLOCK,A_BLOCK,ACCURACY,H_BLOCK_PCT,A_BLOCK_PCT,H_CATCH_PCT,A_CATCH_PCT,PACE
Netherlands,Switzerland,F,6,0,2,2,2:26,W,eliminated,7,1,12,12,0,1,2,7,3,0,33.33%,25.00%,0.00%,0.00%,8.33%,9.86
Hungary,Mexico,F,6,0,1,2,0:44,W,eliminated,6,2,7,3,0,0,2,6,0,0,80.00%,0.00%,0.00%,0.00%,0.00%,13.64
England,Wales,F,6,0,2,1,3:00,L,timed out,3,4,17,14,1,1,5,4,2,1,22.58%,14.29%,5.88%,7.14%,5.88%,10.33
Hungary,Ukraine,F,6,0,1,6,0:56,W,eliminated,5,1,10,5,1,0,1,6,2,1,40.00%,40.00%,10.00%,20.00%,0.00%,16.07
Austria,Mexico,F,6,0,1,1,1:01,W,eliminated,7,2,14,10,0,1,3,7,2,0,37.50%,20.00%,0.00%,0.00%,7.14%,23.61
Chile,Czechia,Mix,3,3,2,3,1:02,L,eliminated,0,4,6,9,1,2,6,1,0,0,26.67%,0.00%,0.00%,11.11%,33.33%,14.52
Czechia,Sweden,F,6,0,2,5,3:00,L,timed out,2,4,17,16,0,1,5,2,0,4,18.18%,0.00%,23.53%,0.00%,5.88%,11
Scotland,Sweden,Mix,3,3,2,6,1:05,L,eliminated,3,4,8,9,0,1,6,3,1,0,41.18%,11.11%,0.00%,0.00%,12.50%,15.69
Hungary,Ukraine,F,6,0,2,3,3:00,W,timed out,5,3,20,18,0,1,4,5,2,2,21.05%,11.11%,10.00%,0.00%,5.00%,12.67
Austria,Croatia,Mix,3,3,1,1,1:08,W,eliminated,3,1,7,11,0,0,1,6,1,1,22.22%,9.09%,14.29%,0.00%,0.00%,15.88
Australia,Spain,F,6,0,2,2,3:00,L,timed out,3,4,19,17,2,1,5,5,4,2,19.44%,23.53%,10.53%,11.76%,5.26%,12
Chile,Czechia,Mix,3,3,1,1,1:08,L,eliminated,2,3,10,16,0,0,6,2,0,1,19.23%,0.00%,10.00%,0.00%,0.00%,22.94
Austria,Scotland,F,6,0,2,2,3:00,W,timed out,4,1,17,17,0,0,3,4,6,1,14.71%,35.29%,5.88%,0.00%,0.00%,11.33
Austria,Scotland,F,6,0,2,3,3:00,L,timed out,4,2,17,14,0,3,5,4,4,3,19.35%,28.57%,17.65%,0.00%,17.65%,10.33
Belgium,United States,Mix,3,3,1,2,1:09,L,eliminated,1,4,10,16,0,1,6,1,0,2,19.23%,0.00%,20.00%,0.00%,10.00%,22.61
Australia,Mexico,Mix,3,3,2,8,1:14,L,eliminated,5,5,10,13,0,1,6,5,2,1,43.48%,15.38%,10.00%,0.00%,10.00%,18.65
Chile,Czechia,Mix,3,3,1,3,1:14,L,eliminated,1,3,8,18,1,0,6,2,1,1,15.38%,5.56%,12.50%,5.56%,0.00%,21.08
Hungary,Ukraine,F,6,0,2,5,1:15,W,eliminated,5,0,8,7,0,0,0,6,2,0,33.33%,28.57%,0.00%,0.00%,0.00%,12
Austria,Mexico,F,6,0,1,8,1:15,W,eliminated,5,0,8,6,1,0,0,6,0,0,35.71%,0.00%,0.00%,16.67%,0.00%,11.2
Hungary,Mexico,F,6,0,2,1,1:19,W,eliminated,5,2,10,8,1,0,2,6,0,0,38.89%,0.00%,0.00%,12.50%,0.00%,13.67
Argentina,Switzerland,F,6,0,2,2,3:00,W,timed out,3,3,18,15,0,0,3,4,3,3,18.18%,20.00%,16.67%,0.00%,0.00%,11
Czechia,Sweden,F,6,0,2,6,1:20,W,eliminated,6,3,6,9,0,0,3,6,1,0,60.00%,11.11%,0.00%,0.00%,0.00%,11.25
Italy,Wales,F,6,0,2,4,3:00,L,timed out,0,4,18,18,0,1,5,0,0,4,11.11%,0.00%,22.22%,0.00%,5.56%,12
Canada,England,M,0,6,1,4,1:20,W,eliminated,6,0,9,7,0,0,0,6,0,0,37.50%,0.00%,0.00%,0.00%,0.00%,12
England,Netherlands,F,6,0,2,2,3:00,L,timed out,4,3,18,15,0,1,5,4,0,3,21.21%,0.00%,16.67%,0.00%,5.56%,11
Canada,Germany,Mix,3,3,2,10,1:20,W,eliminated,5,2,15,9,1,0,2,6,1,0,29.17%,11.11%,0.00%,11.11%,0.00%,18
